"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Número Contrato";"Código Item Compra";"Descrição Item Compra";"Descrição Complementar Item Compra";"Quantidade Item";"Valor Item"
"52121";"Comando do Exército";"160526";"3 COMPANHIA DE ENGENHARIA DE COMB. MECANIZADO";"2022";"1605260700001202200001";"ENERGIA ELETRICA - FORNECIMENTO MERCADO LIVRE";"ENERGIA ELÉTRICA - FORNECIMENTO MERCADO LIVRE";"1";"300000,00"
"52121";"Comando do Exército";"160526";"3 COMPANHIA DE ENGENHARIA DE COMB. MECANIZADO";"2022";"1605260700001202200001";"ENERGIA ELETRICA - FORNECIMENTO MERCADO LIVRE";"ENERGIA ELÉTRICA - FORNECIMENTO MERCADO LIVRE";"1416666";"1,00"
"26237";"Universidade Federal de Juiz de Fora";"153061";"UNIVERSIDADE FEDERAL DE JUIZ DE FORA";"12020";"1530610500134201900001";"CONCESSAO USO - AREA / IMOVEL PUBLICO";"TERMINAL DE AUTOATENDIMENTO NOVA INSTALAÇÃO - INSTITUTO DE CIÊNCIAS HUMANAS (N OVO), NOVA INSTALAÇÃO.";"60";"4805,29"
"26237";"Universidade Federal de Juiz de Fora";"153061";"UNIVERSIDADE FEDERAL DE JUIZ DE FORA";"12020";"1530610500134201900002";"CONCESSAO USO - AREA / IMOVEL PUBLICO";"TERMINAL DE AUTOATENDIMENTO INSTITUTO DE CIÊNCIAS EXATAS (NOVA INSTALAÇÃO).";"60";"498,26"
"52111";"Comando da Aeronáutica";"120025";"ESCOLA PREPARATORIA DE CADETES DO AR";"12021";"0";"Inválido";"Inválido";"1";"50000,00"
"52121";"Comando do Exército";"160040";"PARQUE REGIONAL DE MANUTENCAO/6";"12021";"1600400600001202100001";"ENERGIA ELETRICA - FORNECIMENTO MERCADO REGULADO";"ENERGIA ELÉTRICA - FORNECIMENTO MERCADO REGULADO";"1";"17000,00"
"52121";"Comando do Exército";"160040";"PARQUE REGIONAL DE MANUTENCAO/6";"12021";"1600400600001202100001";"ENERGIA ELETRICA - FORNECIMENTO MERCADO REGULADO";"ENERGIA ELÉTRICA - FORNECIMENTO MERCADO REGULADO";"60";"12500,00"
"20411";"Instituto do Patrimônio Histórico e Artístico";"343041";"SUPERINTENDENCIA DO IPHAN NO AMAPA-AP";"12022";"3430410500001202200001";"PRESTACAO DE SERVICO DE  VIGILANCIA E SEGURANÇA - ORGANICA -44 HORAS SEMANAIS DIURNAS";"PRESTAÇÃO DE SERVIÇO DE  VIGILÂNCIA E SEGURANÇA - ORGÂNICA - 44 HORAS SEMANAIS  DIURNAS";"1";"67829,28"
"52121";"Comando do Exército";"160228";"26 GRUPO DE ARTILHARIA DE CAMPANHA";"12022";"1602280700001201700001";"COMUNICACAO POR CORREIO";"CONTRATAÇÃO DE SERVIÇOS POSTAIS.";"1";"4800,00"
"20701";"Instituto Brasileiro do Meio Ambiente e dos R";"193108";"IBAMA - SUPERINTENDENCIA DE GOIAS/GO";"12022";"1931080500007202200001";"ACESSO A INTERNET VIA CABO";"LINK DE CONEXÃO COM A INTERNET PRINCIPAL POR FIBRA ÓPTICA OU ADSL DE NO MÍNIMO  200 MBPS, SEM SERVIÇO DE TELEFONIA/ASSINATURA BÁSICA MENSAL, SENDO INCLUÍDO O  FORNECIMENTO DE TODOS OS EQUIPAMENTOS NECESSÁRIOS PARA O FUNCIONAMENTO MÍNIMO  DO SERVIÇO. ENDEREÇO: SUPERINTENDÊNCIA DO IBAMA NO ESTADO DE GOIÁS (SUPES/GO)    RUA 229, Nº 95, SETOR LESTE UNIVERSITÁRIO GOIÂNIA   GO, CEP: 74605-090. TRA TA-SE DO VALOR ANUAL ESTIMADO DA CONTRATAÇÃO, QUE SERÁ REALIZADO MENSALMENTE. DESTE MODO, O VALOR DO LANCE REPRESENTARÁ O VALOR PARA 12 MESES (VALOR GLOBAL ANUAL).";"1";"1199,88"
"52121";"Comando do Exército";"160051";"PARQUE REGIONAL DE MANUTENCAO/10";"12022";"1600510500005202100002";"DESENGRAXANTE";"PASTA DESENGRAXANTE PARA MÃOS /  500 G, FORMULAÇÃO COMPONENTES HIDRATANTES";"50000";"1,00"
"52121";"Comando do Exército";"160051";"PARQUE REGIONAL DE MANUTENCAO/10";"12022";"1600510500005202100001";"SISTEMA DE LIMPEZA / MANUTENCAO DE MATERIAL BELICO PORTATIL";"ÓLEO NEUTRO PARA LIMPEZA DE ARMAMENTO / GALÕES DE 20 L";"500";"0,01"
"26427";"Instituto Federal da Bahia";"158406";"INST. FED. DA BAHIA/CAMPUS SANTO AMARO";"12022";"0";"Inválido";"Inválido";"1";"34077,42"
"26427";"Instituto Federal da Bahia";"158406";"INST. FED. DA BAHIA/CAMPUS SANTO AMARO";"12022";"0";"Inválido";"Inválido";"4";"34121,32"
"36000";"Ministério da Saúde - Unidades com vínculo di";"257048";"DISTRITO SANIT.ESP.INDIGENA - LITORAL SUL";"12022";"0";"Inválido";"Inválido";"9855";"8,16"
"36000";"Ministério da Saúde - Unidades com vínculo di";"257048";"DISTRITO SANIT.ESP.INDIGENA - LITORAL SUL";"12022";"2570480500005202200001";"FORNECIMENTO DE REFEICOES / LANCHES / SALGADOS / DOCES";"FORNECIMENTO DE REFEIÇÕES / LANCHES / SALGADOS / DOCES";"9855";"11,50"
"36000";"Ministério da Saúde - Unidades com vínculo di";"257048";"DISTRITO SANIT.ESP.INDIGENA - LITORAL SUL";"12022";"0";"Inválido";"Inválido";"9855";"13,38"
"36000";"Ministério da Saúde - Unidades com vínculo di";"257048";"DISTRITO SANIT.ESP.INDIGENA - LITORAL SUL";"12022";"0";"Inválido";"Inválido";"9855";"18,10"
"36000";"Ministério da Saúde - Unidades com vínculo di";"257048";"DISTRITO SANIT.ESP.INDIGENA - LITORAL SUL";"12022";"0";"Inválido";"Inválido";"9855";"22,94"
"20411";"Instituto do Patrimônio Histórico e Artístico";"343008";"SUPERINTENDENCIA DO IPHAN EM SERGIPE,IPHAN-SE";"12022";"3430080500001202200002";"SERVICO ESPECIALIZADO DE LIMPEZA";"SERVIÇO ESPECIALIZADO DE LIMPEZA";"1";"37899,19"
